Id,Start time,Completion time,Você acredita que compreendeu o objetivo e tema deste trabalho?,Como você avalia a usabilidade do sistema?,Como você avalia a capacidade do sistema de identificar erros lógicos nos fluxos de decisão?,Eu acredito que o sistema foi capaz de....identificar redundâncias,Eu acredito que o sistema foi capaz de....identificar nós inalcançáveis,Eu acredito que o sistema foi capaz de....identificar contradições lógicas,"Por fim, você tem algum comentário que gostaria de fazer sobre a sua experiência testando o Rulify?"
1,11/27/25 10:33,11/27/25 10:34,Sim,10,10,Concordo totalmente,Concordo totalmente,Concordo totalmente,O Rulify é simplesmente maravilhoso! Recomendo 
2,11/27/25 17:44,11/27/25 17:45,Sim,9,9,Concordo totalmente,Concordo totalmente,Concordo totalmente,
3,11/28/25 0:23,11/28/25 0:23,Sim,9,10,Não sei responder,Concordo totalmente,Concordo totalmente,
4,11/28/25 10:45,11/28/25 10:46,Mais ou menos,7,10,Concordo totalmente,Concordo totalmente,Concordo totalmente,
5,11/28/25 15:35,11/28/25 15:36,Sim,10,10,Concordo totalmente,Concordo totalmente,Concordo totalmente,
6,11/28/25 23:44,11/28/25 23:47,Sim,9,9,Concordo totalmente,Concordo totalmente,Concordo em partes,A plataforma é bem fluída e de fácil entendimento. O sistema verifica e retorna os resultados rapidamente.
7,11/29/25 2:49,11/29/25 2:50,Sim,9,10,Concordo totalmente,Concordo totalmente,Concordo totalmente,
8,11/29/25 17:03,11/29/25 17:06,Sim,8,10,Concordo totalmente,Concordo totalmente,Concordo em partes,"Eu gostei muito da experiência! Achei a interface fácil de usar e bem intuitiva! Também gostei muito das explicações e de como usar cada item, meu único incômodo foram os ícones um pouco pequenos, mas fora isso eu achei sensacional! Parabéns pelo trabalho "
9,11/30/25 12:40,11/30/25 12:44,Sim,10,10,Concordo totalmente,Concordo totalmente,Concordo totalmente,"Minha experiência testando o Rulify foi bastante positiva. A interface é intuitiva, as regras são claras e a plataforma responde de forma consistente ao que é configurado. Gostei especialmente da facilidade de criar e ajustar fluxos, o que torna o processo de testes muito mais ágil. No geral, a ferramenta entrega bem o que promete."
10,11/30/25 17:20,11/30/25 18:00,Sim,7,6,Concordo totalmente,Concordo totalmente,Concordo em partes,
11,12/1/25 12:34,12/1/25 12:35,Mais ou menos,9,10,Concordo totalmente,Concordo totalmente,Concordo totalmente,
12,12/1/25 13:33,12/1/25 13:34,Sim,8,8,Concordo totalmente,Concordo totalmente,Concordo totalmente,
